,TARGET,SK_ID_CURR,POS_SK_DPD_DEF_SUM,CC_DRAWING_LIMIT_RATIO_MAX,INSTAL_PAYMENT_RATIO_MEAN,POS_REMAINING_INSTALMENTS,CC_LAST_AMT_BALANCE_MEAN,CC_PAYMENT_DIV_MIN_MIN,CC_LATE_PAYMENT_VAR,NEW_DOC_KURT,PREV_SK_ID_PREV_NUNIQUE,EMERGENCYSTATE_MODE_nan,REFUSED_AMT_GOODS_PRICE_MAX,ORGANIZATION_TYPE_Industry_type_5,CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,CC_CNT_DRAWINGS_POS_CURRENT_SUM,APPROVED_AMT_GOODS_PRICE_MAX,PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,APPROVED_AMT_ANNUITY_MAX,BURO_CREDIT_ACTIVE_Active_MEAN,PREV_NAME_PRODUCT_TYPE_walk_in_MEAN,BURO_AMT_CREDIT_SUM_MAX,CC_CNT_DRAWINGS_ATM_CURRENT_SUM,ACTIVE_DAYS_CREDIT_VAR,ACTIVE_MONTHS_BALANCE_MAX_MAX,NAME_EDUCATION_TYPE_Higher_education,CC_CNT_DRAWINGS_POS_CURRENT_VAR,PREV_APP_CREDIT_PERC_MIN,REGION_RATING_CLIENT_W_CITY,NAME_HOUSING_TYPE_House_apartment,CLOSED_AMT_CREDIT_SUM_DEBT_SUM,APPROVED_DAYS_DECISION_MEAN,ANNUITY_INCOME_PERC,ORGANIZATION_TYPE_Services,FLAG_DOCUMENT_8,WALLSMATERIAL_MODE_Panel,ORGANIZATION_TYPE_Cleaning,ORGANIZATION_TYPE_Military,LIVINGAPARTMENTS_AVG,APARTMENTS_AVG,ELEVATORS_AVG,ORGANIZATION_TYPE_School,INSTAL_DPD_MEAN,FLOORSMIN_AVG,INSTAL_DBD_SUM,DAYS_BIRTH,INSTAL_DPD_MAX,ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,OCCUPATION_TYPE_High_skill_tech_staff,CC_AMT_DRAWINGS_ATM_CURRENT_VAR,ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,CC_CNT_DRAWINGS_ATM_CURRENT_MIN,PREV_NAME_TYPE_SUITE_Spouse_partner_MEAN,CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN,POS_SK_DPD_DEF_MEAN,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,PREV_AMT_DOWN_PAYMENT_MAX,BURO_AMT_CREDIT_SUM_SUM,PREV_NAME_TYPE_SUITE_Group_of_people_MEAN,PREV_APP_CREDIT_PERC_MEAN,INSTAL_AMT_PAYMENT_MEAN,ACTIVE_DAYS_CREDIT_UPDATE_MEAN,INSTAL_DAYS_ENTRY_PAYMENT_MAX,PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,CC_CNT_DRAWINGS_POS_CURRENT_MIN,ACTIVE_AMT_CREDIT_SUM_MEAN,OCCUPATION_TYPE_Private_service_staff,CC_CNT_DRAWINGS_OTHER_CURRENT_MEAN,BURO_AMT_CREDIT_SUM_MEAN,CC_AMT_DRAWINGS_OTHER_CURRENT_MIN,CC_AMT_DRAWINGS_OTHER_CURRENT_SUM,INSTAL_AMT_PAYMENT_SUM,PREV_NAME_PRODUCT_TYPE_nan_MEAN,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,OCCUPATION_TYPE_HR_staff,BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,PREV_CODE_REJECT_REASON_LIMIT_MEAN,CC_AMT_DRAWINGS_POS_CURRENT_MIN,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,FLOORSMAX_MODE,ELEVATORS_MEDI,CODE_GENDER,INSTAL_DBD_MEAN,ORGANIZATION_TYPE_Advertising,EXT_SOURCE_3,FLAG_DOCUMENT_20,OCCUPATION_TYPE_Managers,FLAG_OWN_REALTY,EMERGENCYSTATE_MODE_Yes,POS_COUNT,LIVINGAREA_MODE,YEARS_BUILD_MEDI,AMT_CREDIT,INCOME_PER_PERSON,EMERGENCYSTATE_MODE_No,ORGANIZATION_TYPE_Police,FLAG_WORK_PHONE,LANDAREA_MEDI,COMMONAREA_AVG,ORGANIZATION_TYPE_University,ORGANIZATION_TYPE_Medicine,ORGANIZATION_TYPE_Telecom,NONLIVINGAPARTMENTS_AVG,WALLSMATERIAL_MODE_Block,ORGANIZATION_TYPE_Housing,FLAG_CONT_MOBILE,FLAG_EMAIL,WALLSMATERIAL_MODE_Monolithic,REGION_POPULATION_RELATIVE,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLOORSMAX_MEDI,ORGANIZATION_TYPE_Electricity,REGION_RATING_CLIENT,YEARS_BUILD_MODE,DAYS_ID_PUBLISH,TOTALAREA_MODE,WALLSMATERIAL_MODE_Mixed,EXT_SOURCE_1,FLAG_DOCUMENT_16,YEARS_BEGINEXPLUATATION_MODE,INSTAL_COUNT,ORGANIZATION_TYPE_Realtor,FLAG_DOCUMENT_6,COMMONAREA_MODE,FLAG_DOCUMENT_3,FLOORSMAX_AVG,OCCUPATION_TYPE_Laborers,APARTMENTS_MODE,ORGANIZATION_TYPE_Security,AMT_INCOME_TOTAL,ENTRANCES_AVG,PAYMENT_RATE,FLAG_DOCUMENT_17,FLAG_OWN_CAR,FLOORSMIN_MODE,FLOORSMIN_MEDI,FLAG_DOCUMENT_19,ORGANIZATION_TYPE_Mobile,INSTAL_DBD_MAX,LANDAREA_MODE,DAYS_EMPLOYED_PERC,INCOME_CREDIT_PERC,LIVINGAREA_AVG,ORGANIZATION_TYPE_Postal,BASEMENTAREA_AVG,ORGANIZATION_TYPE_Insurance,OCCUPATION_TYPE_Accountants,BURO_CREDIT_TYPE_Microloan_MEAN,NONLIVINGAREA_MEDI,INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,FONDKAPREMONT_MODE_nan,INS_24M_AMT_BALANCE_MAX,ORGANIZATION_TYPE_Agriculture,CC_AMT_PAYMENT_TOTAL_CURRENT_MIN,CC_CNT_DRAWINGS_OTHER_CURRENT_SUM,PREV_NAME_TYPE_SUITE_Other_B_MEAN,CC_AMT_DRAWINGS_ATM_CURRENT_MIN,CC_NAME_CONTRACT_STATUS_Sent_proposal_MIN,NONLIVINGAREA_AVG,FLAG_DOCUMENT_11,CC_CNT_DRAWINGS_CURRENT_MIN,EXT_SOURCE_2,NONLIVINGAREA_MODE,AMT_ANNUITY,BURO_CREDIT_TYPE_Mortgage_MEAN,AMT_GOODS_PRICE,APPROVED_CNT_PAYMENT_MEAN,FLAG_DOCUMENT_7,FLAG_DOCUMENT_18,NONLIVINGAPARTMENTS_MEDI,ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,ORGANIZATION_TYPE_Construction,INSTAL_AMT_PAYMENT_MIN,BURO_AMT_CREDIT_SUM_DEBT_MEAN
236733,0,374211,0.0,0.4909090909090909,1.0,15.0,198532.12,0.0,0.0,20.0,5.0,0,,0,532030.75,7.0,360000.0,0.2,18702.494,0.0,0.0,20250.0,11.0,,,0,0.229,0.0,1,1,0.0,-1202.0,0.2312,0,0,1,0,0,,0.0722,,0,0.156,,534.0,-22087,7.0,,0,842865660.0,,0.0,0.0,0.0,0.0,,0.0,20250.0,0.0,0.7089316975059475,10932.598,,-29.0,0.2,0.0,,0,0.0,20250.0,0.0,0.0,1191653.1,0.0,0.3235,0,0.0,0.0,0.0,0.0,0.1667,,1,4.9,0,0.7764,0,0,0,0,41.0,0.0664,,625536.0,90000.0,1,0,0,0.056,,0,0,0,,0,0,1,0,0,0.03256,0,0,0.1667,0,1,,-3861,0.0515,0,,0,0.975,109.0,0,0,,1,0.1667,0,0.0735,0,90000.0,0.2415,0.03326,0,0,,,0,0,35.0,0.0563,0.1833,0.1439,0.0638,0,,0,0,0.0,0.0064,2.0,1,244000.27,0,0.0,0.0,0.0,0.0,0.0,0.0063,0,0.0,0.662,0.0066,20803.5,0.0,540000.0,13.0,0,0,,,0,72.0,0.0
210463,0,343890,0.0,,1.0,0.0,,,,0.0,1.0,0,,0,,,129033.0,0.0,5812.92,0.4443,0.0,405000.0,,384100.0,,0,,1.0,2,1,0.0,-921.0,0.211,0,0,0,0,0,0.1009,0.1237,0.0,0,0.0,0.2083,318.0,-11948,0.0,323814.6,0,,11050.0,,0.0,,0.0,712.0,0.0,1234921.5,0.0,1.0,6956.3364,-14.25,-329.0,0.0,,272250.0,0,,137213.5,,,139126.72,0.0,,0,0.0,0.0,,0.0,0.1667,0.0,0,15.9,0,0.1986,0,0,1,0,21.0,0.0675,0.7314,900000.0,28125.0,1,0,1,0.0307,0.0123,0,0,0,0.0,0,0,1,0,0,0.0117,0,0,0.1667,0,2,0.739,-3698,0.0577,0,0.201,0,0.98,20.0,0,0,0.0124,0,0.1667,0,0.1261,0,112500.0,0.069,0.02638,0,0,0.2083,0.2083,0,0,26.0,0.0309,0.06186,0.125,0.0648,0,0.0671,0,0,0.0,0.0,2.0,0,,0,,,0.0,,,0.0,0,,0.7075,0.0,23742.0,0.0,900000.0,24.0,0,0,0.0,,0,5812.92,82213.97
195810,0,327057,0.0,,1.0,4.0,,,,20.0,6.0,1,,0,,,135000.0,0.0,26027.865,0.25,0.0,117000.0,,,,0,,0.0,2,1,0.0,-1326.0,0.3335,0,0,0,0,0,,,,0,4.156,,310.0,-18790,34.0,33912.0,0,,177.0,,0.0,,0.0,177.0,9675.0,312525.0,0.0,0.7561312839956043,7927.91,-7.0,-18.0,0.3333,,117000.0,0,,78131.25,,,356755.94,0.0,,0,0.0,0.0,,0.0,,,1,6.89,0,0.548,0,0,0,0,37.0,,,454500.0,38250.0,0,0,1,,,0,0,0,,0,0,1,1,0,0.0264,0,0,,0,2,,-2337,,0,,0,,45.0,0,0,,1,,1,,0,76500.0,,0.05612,0,0,,,0,0,27.0,,0.04715,0.1683,,0,,0,0,0.0,,2.0,1,,0,,,0.0,,,,0,,0.563,,25506.0,0.0,454500.0,6.5,0,0,,0.0,0,27.18,11304.0
282049,0,426693,0.0,,1.0,0.0,,,,20.0,3.0,1,,0,,,54810.0,0.3333,14316.615,1.0,0.0,471150.0,,28640.967,0.0,0,,1.073,2,1,,-625.0,0.1337,0,0,0,0,0,,,,0,0.0,,5.0,-10583,0.0,407974.5,0,,1129.0,,0.0,,0.0,138.0,5481.0,1144387.6,0.0,1.0733168840324283,14316.514,-30.0,-506.0,0.0,,190731.28,0,,190731.28,,,57266.055,0.0,,0,0.0,0.0,,0.0,,,1,1.25,0,0.2778,0,0,1,0,5.0,,,225000.0,56250.0,0,0,1,,,0,0,0,,0,0,1,0,0,0.00702,0,0,,0,2,,-1623,,0,0.3914,0,,4.0,0,0,,1,,0,,0,112500.0,,0.06683,0,0,,,0,0,2.0,,0.077,0.5,,0,,0,0,0.0,,1.0,1,,0,,,0.0,,,,0,,0.189,,15034.5,0.0,225000.0,4.0,0,0,,0.0,0,14316.21,114234.75
218408,0,353050,0.0,,1.0,0.0,,,,0.0,3.0,0,59211.0,0,,,93150.0,0.6665,8383.5,0.5,0.0,62221.5,,,,0,,0.874,2,1,0.0,-1367.0,0.0714,0,0,0,0,0,0.0151,0.0186,0.0,0,3.682,0.0833,229.0,-9439,22.0,32944.5,0,,63.0,,0.0,,0.0,63.0,9315.0,82426.5,0.0,1.0786551011995027,6595.0547,-27.0,-841.0,0.3333,,62221.5,0,,41213.25,,,145091.2,0.0,,0,0.0,0.3333,,,0.0417,0.0,0,10.41,0,0.4956,0,0,0,0,19.0,0.0148,0.698,180000.0,63000.0,1,0,0,0.0284,,0,0,0,0.0,0,0,1,0,0,0.02866,0,0,0.0417,0,2,0.706,-2075,0.0111,0,0.1646,0,0.9775,22.0,0,0,,0,0.0417,1,0.0189,0,126000.0,0.069,0.05,0,0,0.0833,0.0833,0,0,42.0,0.0285,0.1354,0.7,0.0142,0,0.0,0,0,0.0,0.0,2.0,0,,0,,,0.0,,,0.0,0,,0.7334,0.0,9000.0,0.0,180000.0,10.0,0,0,0.0,,0,41.4,16472.25
267255,0,409653,4.0,1.1875,1.0,0.0,181202.84,1.0320779661183548,0.0,20.0,10.0,1,765000.0,0,262812.9,10.0,104157.0,0.3,7856.37,1.0,0.1,180000.0,25.0,302642.0,,1,3.285,0.8257,2,1,,-800.0,0.1886,0,0,0,0,0,,,,0,0.4355,,479.0,-9948,5.0,182304.0,0,7451035600.0,171.5,0.0,0.1,0.0,0.093,150.0,3600.0,228555.0,0.0,0.933285790655447,9587.571,-30.5,-3.0,0.1,0.0,114277.5,0,0.0,114277.5,0.0,0.0,594429.44,0.0,3.572,0,0.0,0.0,0.0,0.0,,,1,7.727,0,0.1975,0,0,0,0,43.0,,,808650.0,78750.0,0,0,1,,,0,0,0,,0,0,1,1,0,0.02866,0,0,,0,2,,-2608,,0,0.2585,0,,62.0,0,0,,1,,0,,0,157500.0,,0.03674,0,0,,,0,0,29.0,,0.1991,0.1948,,0,,0,0,0.0,,3.0,1,184468.81,0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.4717,,29709.0,0.0,675000.0,12.0,0,0,,0.0,0,1.35,106971.75
195586,0,326795,0.0,,1.0,67.0,0.0,,0.0,20.0,4.0,1,,0,0.0,0.0,517500.0,0.0,18127.756,0.6665,0.0,62100.0,0.0,3411272.0,,0,,0.835,2,1,0.0,-260.8,0.1428,0,0,0,0,0,,,,0,0.0,,772.0,-19530,0.0,62100.0,0,,118.5,,0.0,,0.0,-1543.0,0.0,148094.45,0.0,0.9449081803005008,10320.855,-346.5,-35.0,0.0,,53550.0,0,,49364.82,,0.0,185775.39,0.0,,0,0.0,0.0,,0.0,,,1,42.88,0,,0,0,0,0,18.0,,,423000.0,56250.0,0,0,0,,,0,0,0,,0,0,1,0,0,0.0264,0,0,,0,2,,-3054,,0,,0,,18.0,0,0,,1,,1,,0,112500.0,,0.038,0,0,,,0,0,93.0,,0.403,0.2659,,0,,0,0,0.0,,1.0,1,0.0,0,0.0,0.0,0.0,,0.0,,0,0.0,0.657,,16074.0,0.0,423000.0,28.0,0,0,,0.0,0,6417.405,20700.0
238435,0,376146,0.0,0.0,1.0,5.0,15637.23,,0.0,20.0,10.0,0,,0,0.0,1.0,1129500.0,0.0,60179.76,,0.1,,0.0,,,0,,0.951,2,1,,-921.0,0.1797,0,0,0,0,0,0.2328,0.2969,0.32,0,0.196,0.0417,547.0,-11152,8.0,,0,,,0.0,0.3,0.0,0.0,,112500.0,,0.0,1.0924398491192566,39632.312,,-15.0,0.0,1.0,,0,0.0,,0.0,0.0,2021248.0,0.0,0.0,0,,0.0,15637.23,,0.3333,0.32,1,10.73,0,,0,0,0,0,52.0,0.3113,0.792,755190.0,157500.0,1,0,0,0.1302,0.453,0,0,0,0.0193,0,0,1,0,0,0.00802,0,0,0.3333,0,2,0.7974,-3685,0.2476,0,0.3728,0,0.9844,51.0,0,0,0.457,1,0.3333,0,0.3025,0,315000.0,0.276,0.07495,0,0,0.0417,0.0417,0,0,35.0,0.1309,0.07135,0.417,0.2988,0,0.2319,0,0,,0.0591,2.0,0,15637.23,0,0.0,0.0,0.0,0.0,0.0,0.0579,0,0.0,0.425,0.0613,56592.0,,675000.0,11.14,0,0,0.0194,,0,46.125,
210504,0,343938,0.0,,1.0,0.0,,,,20.0,8.0,0,1548000.0,0,,,360000.0,0.0,25182.9,0.6,0.0,1813261.5,,48357.0,,0,,0.91,1,1,0.0,-1890.0,0.0758,0,0,0,0,0,,,,0,0.0,,658.0,-22531,0.0,13540.5,0,,976.0,,0.0,,0.0,444.0,1800.0,2525197.5,0.0,1.003535785470645,18722.293,-53.34,-755.0,0.375,,784420.5,0,,505039.5,,,992281.5,0.0,,0,0.0,0.0,,0.0,,,1,12.414,0,0.5137,0,0,1,0,58.0,0.0521,,509922.0,360000.0,1,0,0,,,0,0,0,,0,0,1,0,0,0.0725,0,0,,0,1,,-5630,0.0393,0,,0,0.9834,53.0,0,0,,1,,0,,0,360000.0,,0.05353,0,1,,,0,0,76.0,,,0.706,0.05,0,,0,0,0.0,,2.0,1,,0,,,0.0,,,,0,,0.4917,,27297.0,0.0,472500.0,16.5,0,0,,0.0,0,3241.395,6770.25
151932,0,276111,,,,,,,,7.035,,1,,0,,,,,,0.3333,,1350000.0,,84.5,,0,,,2,1,0.0,,0.099,0,0,0,0,0,,,,0,,,,-20486,,,0,,6292.0,,,,,1721.0,,3301650.0,,,,-51.0,,,,787500.0,0,,550275.0,,,,,,0,0.0,,,846.9,,,0,,0,0.769,0,0,1,0,,,,687600.0,92250.0,0,0,0,,,0,0,0,,0,0,1,0,0,0.00966,0,0,,0,2,,-3998,,0,,0,,,0,0,,1,,0,,0,184500.0,,0.02657,0,0,,,0,0,,,0.02719,0.2683,,0,,0,0,0.0,,,1,,0,,,,,,,0,,0.2805,,18265.5,0.0,450000.0,,0,1,,0.0,0,,0.0
9210,0,110712,0.0,0.8571428571428571,1.0,0.0,0.0,0.0,0.1665,20.0,3.0,0,,0,166114.34,0.0,117774.0,0.0,7875.0,1.0,0.3333,2448000.0,5.0,135744.92,,0,0.0,0.0,2,1,,-1454.0,0.1469,0,0,0,0,0,0.0891,0.1093,0.0,0,10.984,0.2083,1314.0,-11482,192.0,2256417.0,0,492567550.0,8640.0,0.0,0.3333,0.0,0.0,92.0,0.0,2833920.0,0.0,0.5,4793.077,-12.75,-15.0,0.3333,0.0,708480.0,0,0.0,708480.0,0.0,0.0,325929.25,0.0,0.1351,0,0.0,0.0,0.0,,0.1667,0.0,1,19.33,0,0.3506,0,0,0,0,22.0,0.0634,0.765,673875.0,67500.0,1,0,0,0.0,0.0347,0,0,0,0.0,0,0,1,0,0,0.01863,0,0,0.1667,0,2,0.7715,-1720,0.0669,0,0.05695,0,0.9824,68.0,0,0,0.035,1,0.1667,0,0.1113,0,135000.0,0.069,0.02943,0,0,0.2083,0.2083,0,0,95.0,0.0,0.0944,0.2003,0.0609,0,,0,0,0.0,0.0,3.0,0,142114.72,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.1274,0.0,19831.5,0.25,562500.0,12.0,0,0,0.0,,0,1.485,635988.4
129657,0,250389,0.0,0.46,1.0,17.0,207281.06,1.0051766597979597,0.0,20.0,7.0,0,189000.0,0,197172.58,25.0,450000.0,0.0,18000.945,0.0,0.0,45000.0,11.0,,,1,12.22,0.0,2,1,0.0,-1232.0,0.09576,0,0,0,0,0,,,,0,0.096,,1441.0,-22572,3.0,,0,747412800.0,,0.0,0.0,0.0,0.0,,0.0,72000.0,0.0,0.7588687901143968,13452.795,,-8.0,0.4285,0.0,,0,0.0,24000.0,0.0,0.0,1681599.4,0.0,0.4583,0,0.0,0.0,0.0,,,,1,11.53,0,0.643,0,0,0,0,87.0,0.1339,,229230.0,135000.0,1,0,0,,,0,0,0,,0,0,1,0,0,0.00712,0,0,,0,2,,-4489,0.1729,0,,0,0.989,125.0,0,0,,1,,0,,0,135000.0,,0.0564,0,1,,,0,0,158.0,,,0.589,0.1285,0,,0,0,0.0,,3.0,1,227987.9,0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.1791,,12928.5,0.0,202500.0,22.8,0,0,,,0,31.275,0.0
221936,0,357099,0.0,0.6666666666666666,1.0,0.0,202856.81,1.0089845487775235,0.0,20.0,15.0,1,143730.0,0,122400.0,26.0,202500.0,0.2,11939.805,1.0,0.06665,0.0,7.0,,0.0,0,16.5,0.8955,2,1,,-470.2,0.1545,1,1,0,0,0,,,,0,0.608,,523.0,-10063,7.0,0.0,0,2258960000.0,,0.0,0.1333,0.0,0.0,,13500.0,0.0,0.0,0.9933465789551428,10224.515,-263.0,-34.0,0.06665,0.0,0.0,1,0.0,0.0,0.0,0.0,521450.25,0.0,0.875,0,0.0,0.1333,0.0,8938.17,,,1,10.26,0,0.2808,0,0,1,0,38.0,,,286704.0,85500.0,0,0,0,,,0,0,0,,0,0,1,0,0,0.00702,0,0,,0,2,,-1133,,0,0.45,0,,51.0,0,0,,0,,0,,0,171000.0,,0.09216,0,0,,,0,0,41.0,,0.0911,0.596,,0,,0,0,0.0,,3.0,1,205597.75,0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.006832,,26424.0,0.0,247500.0,8.8,0,0,,8938.17,0,16.47,0.0
172282,0,299652,0.0,,1.0,0.0,,,,20.0,2.0,1,,0,,,115560.0,0.0,14458.95,1.0,0.0,495000.0,,,,0,,0.919,2,1,,-393.0,0.2603,0,0,0,0,0,,,,0,0.0,,216.0,-19643,0.0,211225.5,0,,450.0,,0.0,,0.0,450.0,0.0,495000.0,0.0,0.9191123836793128,14458.7295,-32.0,-94.0,0.0,,495000.0,0,,495000.0,,,144587.3,0.0,,0,0.0,0.0,,,,,1,21.6,0,0.6895,0,0,1,0,12.0,,,544491.0,33750.0,0,0,1,,,0,0,0,,0,0,1,0,0,0.0228,0,0,,0,2,,-3025,,0,,0,,10.0,0,0,,1,,0,,0,67500.0,,0.03226,0,0,,,0,0,26.0,,0.04138,0.12396,,0,,0,0,0.0,,1.0,1,,0,,,0.0,,,,0,,0.458,,17563.5,0.0,454500.0,10.0,0,0,,,0,14456.745,211225.5
56826,0,165858,0.0,,1.0,54.0,,,,20.0,6.0,0,,0,,,1165500.0,0.0,35210.203,0.0,0.0,62519.04,,,,1,,0.873,2,1,0.0,-521.0,0.04642,0,0,0,0,0,,0.1649,0.2,1,0.0,,239.0,-22663,0.0,,0,,,,0.0,,0.0,,5350.5,62519.04,0.0,0.9811650168551392,12282.48,,-31.0,0.1666,,,0,,62519.04,,,405321.84,0.0,,0,0.0,0.0,,0.0,0.375,0.2,0,7.242,0,,0,0,0,0,38.0,0.2485,,125136.0,78750.0,1,0,0,,,0,0,0,,0,0,1,0,0,0.0191,0,0,0.375,0,2,,-4543,0.1876,0,,0,0.9917,33.0,0,0,,1,0.375,0,0.1681,0,157500.0,0.1724,0.05844,0,0,,,0,0,38.0,,0.2009,1.259,0.2385,0,,0,0,0.0,,2.0,1,,0,,,0.0,,,,0,,0.6787,,7312.5,0.0,99000.0,22.5,0,0,,,0,5564.385,0.0
71396,0,182798,0.0,,1.0,0.0,0.0,,0.0,20.0,7.0,1,270000.0,0,0.0,0.0,135000.0,0.0,10085.805,1.0,0.0,495000.0,0.0,,-6.0,0,,0.91,2,1,,-1035.0,0.338,0,0,0,0,0,,,,0,0.0,,72.0,-20141,0.0,,0,,,,0.0,,0.0,,3929.49,495000.0,0.0,0.9942793555468544,17374.361,-15.0,-99.0,0.4285,,495000.0,0,,495000.0,,0.0,208492.33,0.0,,0,0.0,0.0,,,,,1,6.0,0,0.4329,0,0,0,0,15.0,,,629325.0,90000.0,0,0,0,,,0,0,0,,0,0,1,0,0,0.03134,0,0,,0,2,,-3022,,0,,0,,12.0,0,1,,0,,0,,0,90000.0,,0.0483,0,0,,,0,0,13.0,,,0.1431,,0,,0,0,0.0,,2.0,1,0.0,0,0.0,0.0,0.0,,0.0,,0,0.0,0.389,,30406.5,0.0,562500.0,7.668,0,0,,,0,8154.0,
152625,0,276901,0.0,0.1,1.0,1.0,0.0,0.0,0.0499,20.0,5.0,0,,0,180450.0,3.0,134946.0,0.2,19569.734,0.3125,0.0,9000000.0,7.0,708511.3,,1,0.0306,0.8257,2,1,0.0,-1864.0,0.094,0,0,0,0,0,0.0672,0.0835,0.0,0,0.4,0.2083,689.0,-12606,28.0,7020616.5,0,1840884.9,1788.0,0.0,0.0,0.0,0.0,-1606.0,36000.0,20538288.0,0.0,1.034127128496663,5771.6235,-401.5,-7.0,0.6,0.0,1946773.9,0,0.0,1283643.0,0.0,0.0,779169.2,0.0,0.07294,0,0.0,0.0,0.0,0.0,0.1667,0.0,1,5.105,0,0.1556,0,0,0,0,26.0,0.0886,0.819,545040.0,70875.0,1,1,0,0.0,0.0925,0,0,0,0.0039,0,0,1,0,0,0.007114,0,0,0.1667,0,2,0.8237,-5233,0.0946,0,0.782,0,0.987,135.0,0,0,0.0933,1,0.1667,0,0.0851,0,283500.0,0.2069,0.0489,0,0,0.2083,0.2083,0,0,38.0,0.0,0.3457,0.52,0.085,0,0.0825,0,0,0.0,0.0674,3.0,0,118376.73,0,0.0,0.0,0.0,0.0,0.0,0.066,0,0.0,0.5566,0.0699,26640.0,0.1875,450000.0,8.664,0,0,0.0039,,0,9.81,512747.7
129635,0,250364,0.0,,1.0,0.0,,,,0.0,,0,,0,,,,,,0.5,,204877.8,,,,0,,,1,1,0.0,,0.0375,0,0,0,0,0,0.0862,0.1113,0.02,0,9.336,0.2917,4.0,-22260,28.0,160317.55,0,,8.0,,,,0.0,8.0,,287569.8,,,4088.955,-158.0,-2890.0,,,204877.8,0,,143784.9,,,12266.865,,,0,0.0,,,0.0,0.1667,0.02,1,1.333,0,0.797,0,0,0,0,2.0,0.041,0.678,135000.0,180000.0,1,0,0,0.2878,0.0235,0,0,0,0.0212,0,0,1,0,0,0.03256,0,0,0.25,0,1,0.6797,-4814,0.0321,0,,0,0.9756,3.0,0,0,0.0179,0,0.25,1,0.0546,0,180000.0,0.1552,0.05,0,0,0.2083,0.2917,0,0,2.0,0.2279,0.02614,1.333,0.0927,0,0.0738,0,0,0.0,0.011,1.0,0,,0,,,,,,0.0108,0,,0.743,0.0056,6750.0,0.0,135000.0,,0,0,0.0214,0.0,0,60.885,80158.77
42128,0,148775,0.0,,1.0,0.0,,,,20.0,2.0,1,,0,,,118921.5,0.0,7124.085,0.0,0.0,52060.5,,,,1,,1.0,2,1,0.0,-960.0,0.2357,0,0,0,0,0,,,,0,0.0,,514.0,-23299,0.0,,0,,,,0.0,,0.0,,6547.5,52060.5,0.0,1.0106338176458205,5875.9346,,-122.0,0.5,,,0,,52060.5,,,199781.78,0.0,,0,0.0,0.0,,0.0,,,1,15.12,0,,0,0,0,0,36.0,,,1350000.0,78750.0,0,0,0,,,0,0,0,,0,0,1,0,0,0.0358,0,0,,0,2,,-4661,,0,,0,,34.0,0,0,,1,,0,,0,157500.0,,0.0275,0,1,,,0,0,30.0,,,0.11664,,0,,0,0,0.0,,1.0,1,,0,,,0.0,,,,0,,0.2507,,37125.0,0.0,1350000.0,17.0,0,0,,,0,5189.535,0.0
298996,1,446383,0.0,,1.0,0.0,0.0,,0.0,20.0,3.0,1,,0,0.0,0.0,52105.5,0.3333,22500.0,0.0,0.0,315000.0,0.0,,,0,,0.0,2,1,0.0,-1011.5,0.1718,0,0,0,0,0,,,,0,0.0,,59.0,-18132,0.0,,0,,,,0.3333,,0.0,,9000.0,1174284.0,0.0,0.5499667521611096,7107.345,,-961.0,0.0,,,0,,130476.0,,0.0,63966.105,0.0,,0,0.0,0.0,,1089.9675,,,0,6.555,0,0.6753,0,0,0,0,10.0,,,1130760.0,117000.0,0,0,0,,,0,0,0,,0,0,1,0,0,0.0358,0,0,,0,2,,-1688,,0,,0,,9.0,0,0,,1,,1,,0,234000.0,,0.03555,0,0,,,0,0,21.0,,0.08624,0.2069,,0,,0,0,0.0,,2.0,1,0.0,0,0.0,0.0,0.0,,0.0,,0,0.0,0.6997,,40189.5,0.0,810000.0,6.0,0,0,,,0,5492.97,0.0
