,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
2789,103255,0,Cash loans,M,N,N,0,112500.0,900000.0,39645.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.015221,-19208,-2429,-3391.0,-2397,,1,1,1,1,0,0,Drivers,2.0,2,2,MONDAY,16,0,0,0,0,0,0,Self-employed,,0.3162156092419603,0.6894791426446275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1954.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
2898,103380,1,Cash loans,F,N,Y,0,99000.0,227520.0,14049.0,180000.0,Family,Pensioner,Secondary / secondary special,Widow,House / apartment,0.031329,-21382,365243,-270.0,-4917,,1,0,0,1,0,0,,1.0,2,2,FRIDAY,11,0,0,0,0,0,0,XNA,,0.6392946484676,0.4830501881366946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,4.0,1.0,-2773.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
2919,103402,0,Revolving loans,M,N,N,0,112500.0,315000.0,15750.0,315000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,0.018634,-14504,-5360,-8438.0,-2678,,1,1,0,1,0,0,Laborers,1.0,2,2,TUESDAY,18,0,0,0,0,1,1,Industry: type 9,0.2383851055201633,0.5152115582637992,0.6144143775673561,,0.0796,0.9757,,,0.0,0.1379,0.1667,,0.0551,,0.0703,,0.0,,0.0826,0.9757,,,0.0,0.1379,0.1667,,0.0563,,0.0732,,0.0,,0.0796,0.9757,,,0.0,0.1379,0.1667,,0.056,,0.0716,,0.0,,block of flats,0.0733,Panel,No,0.0,0.0,0.0,0.0,-2574.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.0
4241,104963,0,Cash loans,F,N,Y,0,270000.0,639396.0,27220.5,571500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.00702,-14723,-5395,-4161.0,-4161,,1,1,0,1,0,0,Secretaries,2.0,2,2,MONDAY,12,0,0,0,0,0,0,School,0.5363485316322354,0.5163803057565927,0.6195277080511546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,0.0,-215.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
4421,105167,0,Cash loans,F,N,Y,0,99000.0,900000.0,85585.5,900000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.026392,-10279,-988,-1120.0,-2282,,1,1,0,1,0,0,Drivers,2.0,2,2,FRIDAY,14,0,0,0,0,0,0,Security Ministries,0.7151810005521289,0.7332479903637104,,0.0124,0.0267,0.998,,,0.0,0.0345,0.0833,,0.0114,,0.0056,,0.0179,0.0126,0.0277,0.998,,,0.0,0.0345,0.0833,,0.0117,,0.0058,,0.0189,0.0125,0.0267,0.998,,,0.0,0.0345,0.0833,,0.0116,,0.0057,,0.0182,,block of flats,0.0083,"Stone, brick",No,0.0,0.0,0.0,0.0,-727.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4940,105781,0,Cash loans,M,Y,Y,0,157500.0,104256.0,12501.0,90000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-15103,-3785,-6669.0,-4106,10.0,1,1,0,1,0,0,Laborers,2.0,2,2,MONDAY,11,0,0,0,0,1,1,Self-employed,,0.4249229750888236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5025,105877,0,Cash loans,M,N,Y,0,47250.0,73944.0,2785.5,58500.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.031329,-19832,365243,-1521.0,-2893,,1,0,0,1,0,0,,1.0,2,2,SUNDAY,9,0,0,0,0,0,0,XNA,,0.0709225153091329,0.7209441499436497,0.0825,0.0777,0.9767,0.6804,0.0069999999999999,0.0,0.1379,0.1667,0.2083,0.0653,0.0639,0.0601,0.0154,0.0166,0.084,0.0806,0.9767,0.6929,0.0071,0.0,0.1379,0.1667,0.2083,0.0668,0.0698,0.0626,0.0156,0.0176,0.0833,0.0777,0.9767,0.6847,0.0071,0.0,0.1379,0.1667,0.2083,0.0664,0.065,0.0612,0.0155,0.0169,reg oper account,block of flats,0.0509,"Stone, brick",No,3.0,2.0,3.0,2.0,-83.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0
5241,106131,0,Cash loans,M,N,N,0,202500.0,360000.0,22023.0,360000.0,Unaccompanied,Commercial associate,Incomplete higher,Single / not married,House / apartment,0.072508,-16742,-3186,-6278.0,-280,,1,1,0,1,1,1,Laborers,1.0,1,1,SUNDAY,16,0,0,0,0,0,0,Business Entity Type 2,,0.6027233761290121,0.3572932680336494,0.3938,0.2029,0.9821,0.7552,0.0,0.64,0.2759,0.4583,0.5,0.0,0.0,0.3934,0.0,0.0021,0.4013,0.2106,0.9821,0.7648,0.0,0.6445,0.2759,0.4583,0.5,0.0,0.0,0.4098,0.0,0.0022,0.3976,0.2029,0.9821,0.7585,0.0,0.64,0.2759,0.4583,0.5,0.0,0.0,0.4004,0.0,0.0021,reg oper account,block of flats,0.3098,Panel,No,0.0,0.0,0.0,0.0,-1343.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,4.0
5365,106275,0,Cash loans,M,N,Y,0,180000.0,1787283.0,47146.5,1597500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.018634,-11339,-3302,-4081.0,-3287,,1,1,0,1,0,0,,1.0,2,2,TUESDAY,10,0,0,0,0,0,0,Transport: type 2,0.3677407058548607,0.5743645041597051,0.8633633824101478,0.066,0.011,0.9876,,,0.0,0.0345,0.1667,,0.0369,,0.042,,0.0,0.0672,0.0114,0.9876,,,0.0,0.0345,0.1667,,0.0378,,0.0438,,0.0,0.0666,0.011,0.9876,,,0.0,0.0345,0.1667,,0.0376,,0.0428,,0.0,,block of flats,0.0388,"Stone, brick",No,0.0,0.0,0.0,0.0,-247.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5455,106384,1,Cash loans,M,Y,N,1,135000.0,355536.0,18742.5,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,Co-op apartment,0.018029,-14450,-1537,-4603.0,-4931,64.0,1,1,0,1,0,0,Drivers,3.0,3,3,SATURDAY,10,0,0,0,0,1,1,Business Entity Type 3,,0.4333279685816849,0.4561097392782771,,,0.9692,,,,0.0345,0.0417,,,,,,,,,0.9692,,,,0.0345,0.0417,,,,,,,,,0.9692,,,,0.0345,0.0417,,,,,,,,block of flats,0.0079,Wooden,No,2.0,0.0,2.0,0.0,-1111.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
5510,106455,0,Cash loans,M,Y,Y,0,270000.0,1532542.5,65061.0,1314000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.032561,-21757,-1267,-2750.0,-4136,23.0,1,1,0,1,0,0,Managers,2.0,1,1,SUNDAY,11,0,0,0,0,0,0,Business Entity Type 2,0.7608059794848924,0.4532276025495724,0.4436153084085652,0.1227,0.0654,0.9881,,,0.12,0.1034,0.375,,0.0591,,0.1333,,0.0,0.125,0.0678,0.9881,,,0.1208,0.1034,0.375,,0.0605,,0.1389,,0.0,0.1239,0.0654,0.9881,,,0.12,0.1034,0.375,,0.0602,,0.1357,,0.0,,block of flats,0.1203,Panel,No,0.0,0.0,0.0,0.0,-49.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,2.0,4.0
6125,107160,1,Cash loans,F,N,Y,0,180000.0,187704.0,14958.0,148500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.010147,-14699,-556,-8795.0,-4884,,1,1,0,1,0,0,Laborers,2.0,2,2,MONDAY,9,0,0,0,0,0,0,Construction,,0.4983508870448169,0.4329616670974407,0.1866,,0.9806,,,0.2,0.1724,0.3333,,,,0.1778,,,0.1901,,0.9806,,,0.2014,0.1724,0.3333,,,,0.1853,,,0.1884,,0.9806,,,0.2,0.1724,0.3333,,,,0.181,,,,block of flats,0.1399,Panel,No,0.0,0.0,0.0,0.0,-404.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
6203,107242,0,Cash loans,M,N,Y,0,225000.0,495000.0,36148.5,495000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-20062,-297,-1513.0,-2163,,1,1,0,1,0,0,Drivers,2.0,2,2,FRIDAY,14,0,1,1,0,1,1,Industry: type 9,0.2669434935136666,0.5488724612319316,0.4543210601605785,0.0237,0.0474,0.9975,0.966,0.004,0.0,0.069,0.0833,0.125,0.0204,0.0193,0.0223,0.0,0.0,0.0242,0.0492,0.9975,0.9673,0.004,0.0,0.069,0.0833,0.125,0.0208,0.0211,0.0232,0.0,0.0,0.0239,0.0474,0.9975,0.9665,0.004,0.0,0.069,0.0833,0.125,0.0207,0.0197,0.0227,0.0,0.0,reg oper account,block of flats,0.0175,Block,No,3.0,0.0,3.0,0.0,-49.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,4.0
6302,107356,0,Cash loans,F,N,Y,2,90000.0,45000.0,4581.0,45000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.00702,-15420,-7220,-7750.0,-4866,,1,1,1,1,1,0,Private service staff,4.0,2,2,SATURDAY,15,0,0,0,0,0,0,Business Entity Type 3,,0.7413081004613009,0.8327850252992314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2495.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0
6550,107639,0,Cash loans,F,N,Y,2,180000.0,1056447.0,31018.5,922500.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.018029,-21199,365243,-9174.0,-4619,,1,0,0,1,0,0,,3.0,3,3,TUESDAY,9,0,0,0,0,0,0,XNA,0.7485186812098512,0.5130975683576032,0.4848514754962666,0.1784,0.2334,0.9841,0.7824,0.0341,0.0,0.3103,0.1667,0.0417,,,0.1765,,0.0036,0.1817,0.2422,0.9841,0.7909,0.0344,0.0,0.3103,0.1667,0.0417,,,0.1839,,0.0038,0.1801,0.2334,0.9841,0.7853,0.0343,0.0,0.3103,0.1667,0.0417,,,0.1797,,0.0036,,block of flats,0.1583,Panel,No,2.0,0.0,2.0,0.0,-1558.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6849,107985,0,Cash loans,F,N,Y,0,202500.0,770328.0,27796.5,585000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.04622,-17500,-1476,-9142.0,-1045,,1,1,0,1,0,0,Laborers,1.0,1,1,SATURDAY,15,0,0,0,0,1,1,Business Entity Type 3,,0.6825048985189488,0.6397075677637197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,6.0,0.0,-2403.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7016,108167,0,Cash loans,F,N,N,0,157500.0,540000.0,26109.0,540000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.0145199999999999,-10187,-240,-3854.0,-2548,,1,1,0,1,0,0,Core staff,1.0,2,2,TUESDAY,11,0,0,0,1,1,0,Bank,0.2041999783443852,0.5699643567445468,0.1491674613233488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1571.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0
